breed;size;exercise;size_home;grooming;coat_length;sheeds;life_time;vulnerable_breed;town_country;garden_size;BREED_CATEGORY;BREED_CATEGORY_DESCRIPTION;BREED_ISSUES
Affenpinscher;Small;Up to 1 hour per day;Flat/ Apartment;More than once a week;Medium;Yes;Over 12 years;No;Either;Small/ medium garden;TOY;The Toy breeds are small companion or lap dogs. Many of the Toy breeds were bred for this capacity although some have been placed into this category simply due to their size. They should have friendly personalities and love attention. They do not need a large amount of exercise and some can be finicky eaters.;
Afghan Hound;Large;More than 2 hours per day;Large house;Every day;Long;Yes;Over 10 years;No;Country;Large garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Airedale Terrier;Large;Up to 1 hour per day;Large house;Every day;Medium;No;Over 10 years;No;Either;Large garden;TERRIER;Dogs originally bred and used for hunting vermin. 'Terrier' comes from the Latin word Terra, meaning earth. This hardy collection of dogs were selectively bred to be extremely brave and tough, and to pursue fox, badger, rat and otter (to name but a few) above and below ground. Dogs of terrier type have been known here since ancient times, and as early as the Middle Ages, these game breeds were portrayed by writers and painters.;
Akita;Large;More than 2 hours per day;Large house;Once a week;Short;Yes;Over 10 years;No;Either;Large garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;
Alaskan Malamute;Large;More than 2 hours per day;Large house;Every day;Medium;Yes;Over 10 years;No;Country;Large garden;WORKING;Over the centuries these dogs were selectively bred to become guards and search and rescue dogs. Arguably, the working group consists of some of the most heroic canines in the world, aiding humans in many walks of life, including the Boxer, Great Dane and St. Bernard. This group consists of the real specialists in their field who excel in their line of work.;
Anatolian Shepherd Dog;Large;More than 2 hours per day;Large house;More than once a week;Short;Yes;Over 10 years;No;Country;Large garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Australian Cattle Dog;Medium;More than 2 hours per day;Small house;Once a week;Short;Yes;Over 10 years;No;Country;Small/ medium garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Australian Shepherd;Medium;More than 2 hours per day;Large house;More than once a week;Medium;Yes;Over 10 years;No;Country;Large garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Australian Silky Terrier;Small;Up to 30 minutes per day;Flat/ Apartment;Every day;Medium;Yes;Over 12 years;No;Either;Small/ medium garden;TOY;The Toy breeds are small companion or lap dogs. Many of the Toy breeds were bred for this capacity although some have been placed into this category simply due to their size. They should have friendly personalities and love attention. They do not need a large amount of exercise and some can be finicky eaters.;
Australian Terrier;Small;Up to 1 hour per day;Flat/ Apartment;More than once a week;Medium;Yes;Over 12 years;No;Either;Small/ medium garden;TERRIER;Dogs originally bred and used for hunting vermin. 'Terrier' comes from the Latin word Terra, meaning earth. This hardy collection of dogs were selectively bred to be extremely brave and tough, and to pursue fox, badger, rat and otter (to name but a few) above and below ground. Dogs of terrier type have been known here since ancient times, and as early as the Middle Ages, these game breeds were portrayed by writers and painters.;
Azawakh (Imp);Large;More than 2 hours per day;Large house;Once a week;Short;No;Over 10 years;No;Either;Large garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Barbet (Imp);Large;Up to 1 hour per day;Small house;More than once a week;Medium;No;Over 10 years;No;Country;Small/ medium garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Basenji;Small;Up to 1 hour per day;Small house;Once a week;Short;Yes;Over 12 years;No;Either;Small/ medium garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Basset Bleu De Gascogne (Imp);Medium;More than 2 hours per day;Small house;Once a week;Short;Yes;Over 10 years;No;Country;Large garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Basset Fauve De Bretagne;Small-Medium;More than 2 hours per day;Small house;Once a week;Medium;Yes;Over 12 years;No;Either;Large garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Basset Griffon Vendeen (Grand);Medium;More than 2 hours per day;Small house;Every day;Long;Yes;Over 10 years;No;Country;Large garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Basset Griffon Vendeen (Petit);Small-Medium;Up to 1 hour per day;Small house;More than once a week;Medium;Yes;Over 10 years;No;Either;Small/ medium garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Basset Hound;Medium-Large;Up to 1 hour per day;Large house;Once a week;Short;Yes;Over 10 years;No;Either;Small/ medium garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Bavarian Mountain Hound;Medium;More than 2 hours per day;Small house;Once a week;Short;Yes;Over 10 years;No;Country;Large garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Beagle;Small;Up to 1 hour per day;Small house;Once a week;Short;Yes;Over 12 years;No;Either;Small/ medium garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Bearded Collie;Medium;Up to 1 hour per day;Large house;Every day;Long;Yes;Over 12 years;No;Either;Large garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Beauceron;Large;More than 2 hours per day;Large house;More than once a week;Medium;Yes;Over 10 years;No;Country;Large garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Bedlington Terrier;Small;Up to 1 hour per day;Small house;Once a week;Medium;No;Over 10 years;No;Either;Small/ medium garden;TERRIER;Dogs originally bred and used for hunting vermin. 'Terrier' comes from the Latin word Terra, meaning earth. This hardy collection of dogs were selectively bred to be extremely brave and tough, and to pursue fox, badger, rat and otter (to name but a few) above and below ground. Dogs of terrier type have been known here since ancient times, and as early as the Middle Ages, these game breeds were portrayed by writers and painters.;
Belgian Shepherd Dog (Groenendael);Medium-Large;More than 2 hours per day;Large house;More than once a week;Medium;Yes;Over 10 years;No;Either;Large garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Belgian Shepherd Dog (Laekenois);Medium-Large;More than 2 hours per day;Large house;More than once a week;Medium;Yes;Over 10 years;No;Either;Large garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Belgian Shepherd Dog (Malinois);Medium-Large;More than 2 hours per day;Large house;More than once a week;Medium;Yes;Over 10 years;No;Either;Large garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Belgian Shepherd Dog (Tervueren);Medium-Large;More than 2 hours per day;Large house;More than once a week;Medium;Yes;Over 10 years;No;Either;Large garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Bergamasco (Imp);Large;Up to 1 hour per day;Large house;More than once a week;Long;Yes;Over 12 years;No;Country;Small/ medium garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
