"DOG_NAME","breed","age","gender","description","shelter_address","shelter_name"
Maya,Staffordshire-Terrier-Mix,"6 years",Female,"Maya had already found a dream home in Lower Saxony, but unfortunately, contrary to expectations, it turned out that she can't stand cats. We had, of course, tried it out here at the animal shelter beforehand, and her reaction didn't allow for any negative conclusions. However, animals can behave quite differently in a private household than in a shelter, especially when they begin to feel at home and become more confident. Now our Maya is back at the shelter and is starting a new attempt to find a home without furry roommates or other animals in general.
Maya originally came to us after being confiscated for violating the Animal Welfare Act. She is a very lively and people-oriented dog who wants plenty of exercise. She especially enjoys playing foraging games. She knows basic commands and is house-trained. She lets other dogs walk her around calmly, but she doesn't want any more contact with other dogs. In her youthful exuberance, her temper sometimes gets a bit out of hand—she doesn't mean any harm, but occasionally unintentionally becomes a bit rowdy. Therefore, it's very important that the person at the other end of the leash is a) steady and b) when in doubt, ""friendly and assertive."" Maya is sometimes a bit clumsy and doesn't show enough consideration for people.
We would like this charming bundle of energy to find a home with active people who have plenty of time for her. Any children should be at least 14 years old; she is absolutely not suitable for smaller/younger children. Please note that, depending on the breed, a landlord's permit is usually required, and depending on the state, muzzles and leashes may automatically be required in public. Maya is currently unable to climb stairs due to cruciate ligament problems, so a ground-level home would be ideal.
Would you like to give Maya a lovely home or do you have any questions? Please contact her animal caretakers at Benji House by phone at +49 30 76 888-212 or fill out the form below. We look forward to hearing from you!",https://getbalu.com/pets/dog,Tierheim Berlin
Bonny,Australian Shepard,"7 years",Female,"The beautiful Bonny was given to us by her previous owners for personal reasons. Now this very sweet and lively dog is looking for a new home.
Bonny will only be rehomed in a rural home with a garden. Children living in the household should be at least 14 years old.","Feldstraße 8, 21493 Schwarzenbek, Germany",Tierheim Schwarzenbek
Rubble,Mischling,"1 year",Male,"Rubble is currently in a foster home.
Rubble originally came to us at Sonnenhof with his mother, Pauline, and his five siblings at the age of about three weeks. Since then, he's been through quite a bit: After a short stay in a new home and with a foster family, Rubble severely injured his leg and had to undergo multiple surgeries.
In new situations and around strangers, Rubble is initially insecure and often reacts by barking. He needs time to gain trust and likes to decide for himself when to allow closeness. However, once he has established a bond, he is cuddly, eager to learn, and full of joy for life.
For Rubble, we are looking for people with heart and mind who are willing to accompany him on his special journey, provide him with the necessary care, and accept him as he is. Attending dog training would be very helpful for his further development and is encouraged by us.","Hochkreit 8, 82401 Rottenbuch, Deutschland","Sonnenhof für Mensch und Tier, eine Einrichtung vom Deutschen Tierschutzbund e.V."
Bingo,Mischling,"14 years",Male,"Seit 2023 wartet Bingo bereits im Tierheim auf ein neues Zuhause. Eine viel zu lange Zeit, denn besonders in Bingos Alter ist jeder Moment kostbar und jeder weitere Tag im Tierheim ein Tag zu viel. Hier wird der liebenswerte Mischlingsrüde natürlich von Pflegern und Gassigehern auf Händen getragen und wir versuchen ihm die Wartezeit möglichst schön zu gestalten – Sozialkontakte mit weiteren Artgenossen und uns Zweibeinern, sowie ausgiebige Spaziergänge und Leckereien… und trotzdem kann selbst die beste Pflege und Fürsorge hier kein eigenes Zuhause ersetzen.
Weshalb der hübsche Kerl noch bei uns ist, bleibt jedoch ein Rätsel. Einige Adoptanten sind auf der Suche nach einem bereits älteren, gesetzten Hund für kurze Gassirunden, doch ist Bingo hier für meisten „noch zu fit“. Natürlich sieht und merkt man ihm sein Alter inzwischen auch an. Er hat bereits ein paar graue Haare, das ein oder andere Lipom und auch der Blick wird zunehmend trüb – doch genießt Bingo seine Spaziergänge noch immer in vollen Zügen. Getreu dem Motto „Wer Rastet der Rostet“ sind auch seine ehrenamtlichen Gassigeher fleißig dabei, den Herrn in Bewegung zu Halten. Selbst noch ein Stündchen am Stück und einen zügigen Schritt kann der Spanier noch getrost mithalten. Mit genügend Sport und Muskelaufbau bleiben wir optimistisch, dass ihn diese Fitness noch einige Zeit begleiten wird.
Andere Familien wünschen sich wiederum einen lernwilligen Jungspund, den man „leichter“ erziehen kann als einen älteren Hund. Natürlich kann Bingo trotz seiner aufgeweckten, aktiven Art keinen Teenager ersetzen, doch lernen und beschäftigt werden kann er noch immer. Der große Agilitystar schlummert nicht mehr in ihm, doch ist dies auch bei den meisten jüngeren, Durchnittshaushunden eher selten der Fall. Für kleineres Gehirnjogging, wie Leckerliesuchen oder einfache Spielereien ist Bingo, besonders im Blick auf die leckere Belohnung, stehts zu haben. Auch kleinere Tricks kann er auch mit 13 Jahren noch lernen.
Nun suchen wir nocheinmal ganz deutlich nach einem passenden Deckel für Bingo. Natürlich hat auch er Eigenheiten, Ecken und Kanten – wie jedes atmende Wesen. Auch er kann mal an der Leinen andere Hunde anpflaumen, doch geht es meistens ohne TamTam. Auch er kann im Laufe des Lebens noch gesundheitliche Probleme entwickeln, doch ist er aktuell noch fit. Alles in Allem ein ganz normaler Hund – nur leider mit etwas mehr Zeitdruck auf der Suche nach einem neuen Zuhause, als manch jüngerer Vierbeiner.","Wailandtstraße 15, 63741 Aschaffenburg, Deutschland",Tierheim Aschaffenburg
Maurice,Dackel-Terrier-Mix,"9 years",Male,"Our Maurice has been found. He is a funny but also very self-confident dog and is looking for a home with experience with dogs, or ideally terriers.
Maurice is people-oriented, house-trained, and calmly leads past other dogs. He knows basic commands and enjoys food-search games. Whether he can be left alone for a while needs to be tested and, if necessary, practiced patiently.
Maurice is a bit moody—he might be happy about something one moment, but growl the next. People who provide him with security but also consistency are important to him. We suspect he could also move in with an existing first female dog—this would have to be tested. Younger children should not live in the household.
Please note that several visits will be necessary to get to know Maurice.","Hausvaterweg 39, 13057 Berlin, Germany",Tierheim Berlin
Gulliver,Mischling,"4 years",Male,"Gulliver found his way to us after life in his previous home wasn't as harmonious as we had imagined when he was adopted many years ago. Initially, minor issues, which many dog owners are confronted with over time, quickly escalated, and what started as a minor issue developed into a highly reactive elephant that put the continued cohabitation to the test.
Many behaviors become ingrained over time, both in the dog and its owners. Negative experiences create tension and fear, which reinforces pessimistic expectations that make it difficult to stay motivated and optimistic during training. Now the black male is getting a complete ""reset,"" and together we are embarking on his journey into a carefree future.
The animal shelter had previously shown little of the insecure, yet explosive nature of this exciting mixed-breed dog. The bright male quickly settled in and got used to his caregivers. With our relaxed, yet firm demeanor, we were able to quickly convince Gulliver of our leadership qualities. This sensitive fellow once again demonstrated his keen sense for the emotions of his two-legged friends. Whether tense or relaxed, Gulliver reads his companion like a book and clearly reflects their emotional state. On walks, you can see that good preparatory work has already been done with him. If he is led consistently, he walks relaxed beside you on a loose leash and voluntarily orients himself towards his owner – a good foundation for further training.
We are currently regularly practicing dog encounters, but even there he is making rapid progress and scores points with his responsiveness in stressful situations. If you give him too much leeway outside, he likes to go along with whatever he wants. Be it pedestrians who he fixates on from a distance and barks at, or strange dogs who he also barks at. That's why it's important to have the right standing and to recognize and manage critical situations early on.","Wailandtstraße 15, 63741 Aschaffenburg, Deutschland",Tierheim Aschaffenburg
Kronos,Rhodesian Ridgeback,"1 year",Male,"Ridgeback Rüde Kronos, oder liebevoll auch nur „der Papa“ genannt, kam zusammen mit einer ebenfalls unkastrierten Hündin und deren 10 Söhne und Töchtern zu uns. Zu seiner Vergangenheit gibt es leider sonst nicht all zu viele Infos, nur sein Chip hat uns sein Herkunftsland, die Niederlande, verraten. Der Rest bleibt zum größten Teil Spekulation basierend auf seinem anfänglichen Charakter und der Auffindesituation.




Ein Halsband zu tragen, an einer Leine zu laufen oder sich auch einfach nur anfassen zu lassen war anfangs bereits eine große Herausforderung. Auch das Durchatmen und mal chillen fällt ihm noch schwer und wird sicherlich künftig noch einiges an Zeit und Arbeit kosten – es bleibt jedoch unabdingbar, um ihm die Teilnahme an einem entspannten Alltag ermöglichen zu können.","Wailandtstraße 15, 63741 Aschaffenburg, Deutschland",Tierheim Aschaffenburg
Fundhündin Inge sucht ihre Menschen,Französische Bulldogge,"8 years",Female,"We took Inge in as a stray at the dog shelter in April. She had been found tied up in poor condition, emaciated, and with an inflamed eye.





","Mitteldorfstraße 2, 37127 Niemetal, Deutschland",Aktiv für Hunde in Not e.V.
Prada,Mischling,"5 years",Female,"After moving from a Romanian animal shelter, little Prada found a new home in Germany. Over time, the initially insecure, calm dog thawed out and gradually took over the reins in her new world. Unfortunately, she lacked experience in dealing with her exaggerated self-awareness, and so, without guidance from her humans, Prada increasingly lost herself in the inappropriate role of boss of the house. Her staff were reprimanded and reprimanded accordingly, which ended with the occasional biting incident in her last home.





","Wailandtstraße 15, 63741 Aschaffenburg, Deutschland",Tierheim Aschaffenburg
Hannah,Husky,"5 years",Female,"Husky dog Hannah does her breed proud. She loves going for walks, preferably for long ones. She walks perfectly on a leash – unless you stand still for too long, which she, as a Husky, finds completely unnecessary.
Hannah is people-oriented, doesn't shy away from anything, and loves to learn. She also loves children, so she could easily become a family dog.
Hannah already knows some basic commands, can ride in the car without any problems, and has already experienced a domestic environment.
Hannah gets along well with other dogs.","Eichholz, 70794 Filderstadt, Germany",Tierschutzverein Tierfreunde Filderstadt e.V.
